City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,bukama,-9.2,-9.2,70.38,96,100,2.01,CD,1681587110
97,bereda,43.2686,43.2686,58.57,89,28,3.04,ES,1681587111
98,sioux lookout,50.1001,50.1001,28.47,93,100,8.05,CA,1681587111
99,saskylakh,71.9167,71.9167,-1.7,100,76,3.36,RU,1681587111
100,naze,28.3667,28.3667,65.32,76,43,10.42,JP,1681587111
101,yumen,40.2833,40.2833,58.98,15,100,5.59,CN,1681587111
102,te anau,-45.4167,-45.4167,48.56,81,100,0.76,NZ,1681587111
103,lompoc,34.6391,34.6391,69.69,73,0,8.05,US,1681587111
104,new norfolk,-42.7826,-42.7826,55.92,89,100,1.01,AU,1681587111
105,qaanaaq,77.484,77.484,3.29,96,12,2.84,GL,1681587112
106,puerto escondido,15.85,15.85,86.83,66,40,17.27,MX,1681586879
107,avarua,-21.2078,-21.2078,78.85,69,20,3.44,CK,1681586965
108,lusaka,-15.4067,-15.4067,62.85,77,0,5.75,ZM,1681586903
109,avera,33.194,33.194,80.65,43,28,8.5,US,1681587112
110,lagoa,39.05,39.05,62.64,85,26,17.69,PT,1681587112
111,serenje,-13.2325,-13.2325,61.92,94,100,10.78,ZM,1681587112
112,sisimiut,66.9395,66.9395,29.61,80,5,10.36,GL,1681587112
113,kasongo-lunda,-6.4667,-6.4667,72.09,99,100,2.21,CD,1681587113
114,paamiut,61.994,61.994,33.19,71,8,11.52,GL,1681587105
115,aykhal,66.0,66.0,24.62,97,100,22.39,RU,1681587099
116,nueve de julio,-35.4444,-35.4444,70.97,38,65,1.99,AR,1681587113
117,kurchum,48.5722,48.5722,46.63,94,100,3.18,KZ,1681587113
118,pochutla,15.7432,15.7432,89.82,37,0,12.24,MX,1681587114
119,sola,-13.8833,-13.8833,74.37,93,100,14.07,VU,1681587114
120,oum hadjer,13.2954,13.2954,92.46,12,100,10.92,TD,1681587114
121,fortuna,40.5982,40.5982,56.93,70,99,1.99,US,1681587114
122,saldanha,-33.0117,-33.0117,59.05,77,0,11.74,ZA,1681587114
123,ferreira do alentejo,38.05,38.05,74.79,31,0,9.22,PT,1681587114
124,dibrugarh,27.4833,27.4833,76.42,48,100,4.16,IN,1681587114
125,bambanglipuro,-7.95,-7.95,75.83,90,90,2.68,ID,1681587114
126,busayra,30.7376,30.7376,61.84,43,0,2.26,JO,1681587115
127,tasiilaq,65.6145,65.6145,37.56,89,100,9.24,GL,1681587115
128,niquero,20.0431,20.0431,82.9,70,95,6.08,CU,1681587115
129,biankouma,7.7391,7.7391,78.39,61,100,5.12,CI,1681587116
130,norman wells,65.282,65.282,12.24,85,100,4.61,CA,1681587116
131,rapid valley,44.0625,44.0625,46.63,42,100,31.07,US,1681587116
132,kapaa,22.0752,22.0752,77.18,67,0,16.11,US,1681587116
133,iqaluit,63.7506,63.7506,20.93,79,100,25.32,CA,1681587116
134,opatija,45.3392,45.3392,52.18,88,99,1.5,HR,1681586836
135,mahenge,-8.6833,-8.6833,62.8,95,67,1.99,TZ,1681587116
136,buta,2.7858,2.7858,68.74,98,100,4.94,CD,1681587116
137,east london,-33.0153,-33.0153,62.49,70,90,7.31,ZA,1681587117
138,ballina,-28.8667,-28.8667,63.79,85,100,7.7,AU,1681587117
139,turbat,26.0023,26.0023,84.15,51,0,6.13,PK,1681587117
140,logan,41.7355,41.7355,48.04,59,0,5.75,US,1681586828
141,placido de castro,-10.3353,-10.3353,80.33,95,100,1.88,BR,1681587117
142,marovoay,-16.1,-16.1,75.92,90,1,3.4,MG,1681587117
143,zeya,53.75,53.75,30.69,82,99,4.07,RU,1681587117
144,kavieng,-2.5744,-2.5744,81.37,78,100,3.65,PG,1681587117
145,luderitz,-26.6481,-26.6481,71.06,39,0,8.1,NA,1681587118
146,geraldton,-28.7667,-28.7667,50.41,93,0,5.75,AU,1681586870
147,rio branco,-9.9747,-9.9747,88.41,70,40,3.44,BR,1681587118
148,atbasar,51.8,51.8,10.98,91,100,4.92,KZ,1681587118
149,fomboni,-12.28,-12.28,82.22,73,40,3.98,KM,1681587118
150,borzya,50.3833,50.3833,33.37,68,39,7.05,RU,1681587118
151,kerema,-7.9631,-7.9631,75.7,90,100,7.47,PG,1681587118
152,souillac,-20.5167,-20.5167,77.38,88,40,3.44,MU,1681587119
153,vagur,61.4732,61.4732,45.43,87,100,15.41,FO,1681587119
154,kungurtug,50.5994,50.5994,31.53,98,100,3.27,RU,1681587119
155,nerchinsk,51.9833,51.9833,33.35,48,100,6.22,RU,1681587119
156,ponta do sol,32.6667,32.6667,68.72,75,0,5.57,PT,1681587119
157,carnarvon,-24.8667,-24.8667,65.84,39,3,16.17,AU,1681587055
